query_id,precision,recall,map
q00001,0.1,0.5,0.0
q00007,0.0,0.0,0.0
q00008,0.1,1.0,0.0
q00010,0.2,0.5,0.0
q00019,0.1,1.0,0.0
q00021,0.1,1.0,0.0
q00022,0.1,1.0,0.0
q00027,0.0,0.0,0.0
q00028,0.1,1.0,0.0
q00030,0.0,0.0,0.0
q00034,0.1,1.0,0.0
q00039,0.2,1.0,0.0
q00042,0.1,0.3333333333333333,0.0
q00043,0.2,1.0,0.0
q00044,0.0,0.0,0.0
q00048,0.0,0.0,0.0
q00062,0.2,1.0,0.0
q00067,0.1,1.0,0.0
q00070,0.1,1.0,0.0
q00071,0.1,1.0,0.0
q00078,0.1,1.0,0.0
q00081,0.1,1.0,0.0
q00092,0.1,1.0,0.0
q00095,0.1,0.5,0.0
q00099,0.1,0.5,0.0
q00103,0.1,1.0,0.0
q00108,0.1,1.0,0.0
q00111,0.0,0.0,0.0
q00119,0.2,1.0,0.0
q00120,0.1,1.0,0.0
q00122,0.2,1.0,0.0
q00123,0.1,1.0,0.0
q00125,0.1,1.0,0.0
q00127,0.1,1.0,0.0
q00128,0.1,1.0,0.0
q00131,0.1,1.0,0.0
q00137,0.1,1.0,0.0
q00145,0.1,0.5,0.0
q00146,0.1,1.0,0.0
q00147,0.1,1.0,0.0
q00148,0.1,1.0,0.0
q00150,0.1,1.0,0.0
q00153,0.1,1.0,0.0
q00156,0.1,1.0,0.0
q00162,0.1,1.0,0.0
q00165,0.0,0.0,0.0
q00166,0.1,1.0,0.0
q00169,0.1,1.0,0.0
q00171,0.1,1.0,0.0
q00172,0.4,0.8,0.0
q00174,0.1,1.0,0.0
q00175,0.1,1.0,0.0
q00180,0.1,1.0,0.0
q00181,0.2,1.0,0.0
q00182,0.2,1.0,0.0
q00185,0.1,1.0,0.0
q00187,0.0,0.0,0.0
q00189,0.1,1.0,0.0
q00191,0.1,1.0,0.0
q00197,0.0,0.0,0.0
q00200,0.1,1.0,0.0
q00204,0.0,0.0,0.0
