query_id	corpus_id	score
q00001	MSFT20230014	1
q00001	MSFT20230015	1
q00007	MSFT20231529	1
q00008	MSFT20231529	1
q00010	ADBE20231571	1
q00010	ADBE20231572	1
q00010	ADBE20230728	1
q00010	ADBE20231573	1
q00019	CPNG20230732	1
q00021	CPNG20230658	1
q00022	CPNG20230553	1
q00027	LIN20231133	1
q00028	LIN20231195	1
q00030	LIN20230064	1
q00030	LIN20230065	1
q00030	LIN20230066	1
q00030	LIN20230067	1
q00034	LIN20230551	1
q00039	ORCL20230738	1
q00039	ORCL20230739	1
q00042	ORCL20230129	1
q00042	ORCL20230130	1
q00042	ORCL20230131	1
q00043	ORCL20231527	1
q00043	ORCL20231529	1
q00044	ORCL20231505	1
q00048	NVDA20231260	1
q00062	PG20230221	1
q00062	PG20230805	1
q00067	PG20230429	1
q00070	PG20230438	1
q00071	PG20230440	1
q00078	DAL20230459	1
q00081	DAL20230513	1
q00092	TSLA20230391	1
q00095	TSLA20231453	1
q00095	TSLA20231454	1
q00099	NFLX20230692	1
q00099	NFLX20230006	1
q00103	NFLX20230387	1
q00108	NFLX20230380	1
q00111	HD20230012	1
q00119	AAPL20230236	1
q00119	AAPL20230557	1
q00120	AAPL20230251	1
q00122	AAPL20230871	1
q00122	AAPL20230222	1
q00123	AAPL20230966	1
q00125	AAPL20230329	1
q00127	AAPL20230882	1
q00128	AAPL20230707	1
q00131	AMZN20230757	1
q00137	AMZN20230278	1
q00145	AMZN20230740	1
q00145	AMZN20230747	1
q00146	AMZN20230982	1
q00147	AMZN20231110	1
q00148	AMZN20230282	1
q00150	META20230315	1
q00153	META20230007	1
q00156	META20230801	1
q00162	JNJ20231505	1
q00165	JNJ20230226	1
q00165	JNJ20230227	1
q00165	JNJ20230228	1
q00165	JNJ20230229	1
q00165	JNJ20230230	1
q00165	JNJ20230232	1
q00165	JNJ20230233	1
q00165	JNJ20230234	1
q00165	JNJ20230235	1
q00165	JNJ20230236	1
q00165	JNJ20230237	1
q00165	JNJ20230239	1
q00166	JNJ20230263	1
q00169	JPM20231163	1
q00171	JPM20231968	1
q00172	JPM20235630	1
q00172	JPM20235631	1
q00172	JPM20235632	1
q00172	JPM20235633	1
q00172	JPM20235636	1
q00174	JPM20230013	1
q00175	JPM20230026	1
q00180	V20230004	1
q00181	V20230020	1
q00181	V20230028	1
q00182	V20230112	1
q00182	V20230376	1
q00185	V20230537	1
q00187	V20230372	1
q00187	V20230374	1
q00187	V20230375	1
q00189	UNH20230014	1
q00191	UNH20230401	1
q00197	UNH20230432	1
q00197	UNH20230433	1
q00197	UNH20230436	1
q00197	UNH20230438	1
q00200	GOOGL20230050	1
q00204	GOOGL20230680	1
q00210	BRK.A20230396	1
q00212	BRK.A20232388	1
